carat,depth,table,x,y,z,price,cut
1.0,61.2,58.0,6.44,6.4,3.93,5292,Premium
1.0,61.9,56.0,6.41,6.36,3.95,5292,Ideal
1.06,58.5,58.3,6.66,6.79,3.94,5293,Very Good
1.25,59.7,59.0,6.97,7.03,4.18,5293,Premium
1.06,60.1,58.0,6.6,6.64,3.98,5293,Very Good
1.06,57.5,62.0,6.71,6.83,3.9,5293,Good
1.01,61.2,61.0,6.44,6.41,3.93,5294,Premium
1.01,63.1,55.0,6.38,6.36,4.02,5294,Very Good
1.01,61.2,61.0,6.44,6.41,3.93,5294,Premium
1.01,68.9,60.0,6.06,6.02,4.17,5294,Fair
1.01,61.3,56.0,6.49,6.44,3.96,5294,Ideal
1.01,62.7,58.0,6.39,6.37,4.0,5294,Premium
1.01,63.1,59.0,6.32,6.23,3.96,5294,Very Good
1.15,61.9,55.0,6.74,6.77,4.18,5296,Ideal
1.22,62.3,57.0,6.85,6.8,4.25,5296,Ideal
1.22,62.1,58.0,6.82,6.84,4.24,5297,Ideal
1.0,62.3,55.0,6.34,6.41,3.97,5299,Ideal
1.0,63.2,57.0,6.36,6.39,4.03,5299,Good
1.0,60.5,59.0,6.4,6.45,3.89,5299,Premium
1.11,61.7,57.0,6.65,6.69,4.12,5299,Ideal
1.25,62.2,59.0,6.86,6.88,4.27,5299,Premium
1.04,62.2,60.0,6.48,6.44,4.02,5300,Premium
1.02,62.3,58.0,6.38,6.46,4.0,5301,Premium
1.02,63.2,59.0,6.35,6.38,4.02,5301,Good
1.02,62.8,55.0,6.4,6.43,4.03,5301,Very Good
1.26,62.0,56.0,6.9,6.93,4.29,5301,Ideal
1.01,59.5,60.0,6.54,6.46,3.87,5301,Premium
1.16,61.5,54.0,6.78,6.75,4.16,5301,Ideal
1.07,62.0,57.0,6.56,6.5,4.05,5302,Ideal
1.02,62.2,60.0,6.4,6.43,3.99,5302,Very Good
0.91,62.4,59.0,6.15,6.16,3.84,5302,Very Good
1.16,61.5,57.0,6.78,6.75,4.16,5302,Ideal
1.01,61.5,59.0,6.48,6.49,3.99,5303,Premium
1.07,62.2,57.0,6.59,6.56,4.09,5303,Ideal
1.07,61.7,58.0,6.54,6.56,4.04,5304,Very Good
1.23,60.1,60.0,6.95,6.9,4.16,5304,Premium
1.01,64.0,54.0,6.3,6.38,4.06,5305,Very Good
0.9,62.5,58.0,6.14,6.18,3.85,5305,Very Good
1.09,60.2,60.0,6.66,6.7,4.02,5305,Very Good
1.01,58.3,58.0,6.65,6.59,3.86,5305,Premium
1.24,62.8,57.0,6.83,6.79,4.28,5305,Premium
1.09,60.1,59.0,6.74,6.67,4.03,5306,Premium
1.01,62.7,57.0,6.41,6.39,4.01,5306,Ideal
1.15,62.5,58.0,6.65,6.69,4.17,5306,Ideal
1.09,62.0,56.0,6.62,6.58,4.09,5306,Ideal
1.26,63.2,57.0,6.86,6.81,4.32,5306,Ideal
1.27,62.0,55.0,6.9,6.95,4.3,5308,Ideal
1.21,62.7,59.0,6.66,6.74,4.2,5308,Very Good
1.01,63.9,59.0,6.29,6.32,4.03,5309,Good
1.2,62.1,60.0,6.72,6.78,4.19,5310,Good
1.66,60.0,59.0,7.63,7.56,4.56,5310,Premium
1.36,62.6,58.0,7.12,7.0,4.42,5310,Premium
1.04,60.7,62.0,6.57,6.51,3.97,5311,Premium
1.01,62.0,61.0,6.42,6.38,3.97,5311,Premium
0.28,62.0,57.0,4.17,4.2,2.59,598,Ideal
0.26,61.7,60.0,4.11,4.12,2.54,599,Very Good
0.38,57.5,60.0,4.83,4.88,2.79,599,Very Good
0.4,62.6,57.0,4.68,4.71,2.94,599,Ideal
0.4,62.2,54.0,4.75,4.8,2.97,599,Ideal
0.27,61.8,56.0,4.15,4.17,2.57,599,Ideal
0.36,62.0,55.0,4.58,4.63,2.86,599,Ideal
0.38,62.0,53.0,4.68,4.71,2.91,599,Ideal
0.3,64.6,56.0,4.27,4.25,2.75,599,Fair
0.26,62.2,56.0,4.12,4.15,2.57,599,Ideal
0.26,63.1,59.0,4.04,4.08,2.56,599,Good
0.26,62.5,56.0,4.1,4.12,2.57,599,Ideal
0.26,62.9,58.0,4.06,4.08,2.56,599,Very Good
0.26,62.0,56.0,4.09,4.13,2.55,599,Ideal
0.26,61.7,57.0,4.07,4.1,2.52,599,Ideal
0.26,61.7,59.0,4.1,4.14,2.54,599,Premium
0.26,62.3,60.0,4.07,4.09,2.54,599,Premium
0.26,61.6,57.0,4.08,4.1,2.52,599,Ideal
0.26,61.8,58.0,4.11,4.14,2.55,599,Premium
0.26,62.4,56.0,4.1,4.11,2.56,599,Ideal
0.26,62.5,56.0,4.08,4.11,2.56,599,Ideal
0.26,61.4,56.0,4.12,4.15,2.54,599,Ideal
0.26,61.5,56.0,4.08,4.11,2.52,599,Ideal
0.26,62.3,57.0,4.06,4.09,2.54,599,Ideal
0.26,62.0,56.0,4.1,4.13,2.55,599,Ideal
0.26,61.6,57.0,4.08,4.1,2.52,599,Ideal
0.4,64.0,56.0,4.64,4.7,2.99,599,Good
0.32,61.8,54.0,4.4,4.43,2.73,599,Ideal
0.32,61.4,56.0,4.41,4.45,2.72,599,Ideal
0.29,59.1,61.0,4.33,4.37,2.57,600,Very Good
1.24,61.0,59.0,6.93,6.97,4.24,5311,Premium
1.04,61.9,56.0,6.46,6.5,4.01,5311,Ideal
1.02,61.2,58.0,6.5,6.47,3.97,5312,Premium
1.02,62.5,56.0,6.45,6.42,4.02,5312,Premium
0.9,62.6,60.0,6.15,6.08,3.83,5312,Premium
0.9,59.5,58.0,6.33,6.28,3.75,5312,Premium
1.02,61.2,56.0,6.53,6.48,3.98,5312,Ideal
1.02,62.5,60.0,6.43,6.38,4.0,5312,Premium
1.5,60.6,62.0,7.22,7.24,4.38,5313,Good
1.03,60.5,61.0,6.43,6.47,3.9,5313,Very Good
1.07,61.4,56.0,6.57,6.63,4.05,5313,Ideal
1.16,64.2,58.6,6.61,6.66,4.26,5314,Good
1.23,61.2,58.0,6.86,6.9,4.21,5315,Ideal
1.18,61.7,63.0,6.67,6.72,4.13,5315,Good
1.11,62.8,61.0,6.63,6.56,4.14,5315,Premium
1.11,61.5,59.0,6.69,6.64,4.1,5315,Premium
1.11,61.0,56.0,6.74,6.7,4.1,5315,Ideal
1.11,60.2,54.0,6.82,6.7,4.07,5315,Ideal
1.13,62.2,58.0,6.68,6.63,4.14,5316,Premium
1.13,61.7,54.0,6.74,6.71,4.15,5316,Premium
1.13,60.4,59.0,6.75,6.7,4.06,5316,Premium
1.01,60.6,57.0,6.54,6.49,3.95,5317,Ideal
0.91,64.0,61.0,6.06,6.13,3.9,5317,Good
1.19,62.3,55.0,6.84,6.8,4.25,5318,Ideal
1.2,61.8,55.0,6.84,6.86,4.23,5318,Ideal
1.33,59.2,62.0,7.22,7.16,4.26,5318,Premium
1.28,58.2,64.0,7.09,7.03,4.11,5319,Good
1.06,62.2,55.0,6.54,6.51,4.06,5319,Ideal
1.25,59.4,62.0,7.07,7.0,4.18,5320,Premium
1.1,61.1,58.0,6.61,6.69,4.06,5320,Very Good
1.0,63.2,59.0,6.29,6.4,4.01,5320,Very Good
1.0,62.6,59.0,6.37,6.31,3.97,5320,Premium
1.2,62.9,54.0,6.76,6.79,4.26,5321,Very Good
1.22,62.3,55.3,6.8,6.87,4.26,5321,Ideal
1.04,61.3,55.0,6.51,6.53,4.0,5321,Ideal
1.0,59.7,57.0,6.56,6.48,3.89,5322,Premium
1.0,59.4,63.0,6.47,6.42,3.83,5322,Very Good
1.2,63.1,58.0,6.7,6.62,4.2,5322,Very Good
1.0,60.8,60.0,6.39,6.33,3.87,5322,Premium
1.05,61.1,58.0,6.57,6.53,4.0,5323,Premium
1.21,62.7,59.0,6.75,6.78,4.24,5324,Premium
1.21,62.6,61.0,6.7,6.75,4.21,5324,Very Good
1.21,62.1,56.0,6.76,6.92,4.25,5324,Very Good
1.21,62.3,55.0,6.81,6.86,4.26,5324,Ideal
0.9,61.2,56.0,6.18,6.23,3.8,5324,Very Good
1.07,62.2,55.0,6.54,6.58,4.08,5325,Ideal
1.11,60.6,59.0,6.75,6.71,4.08,5325,Ideal
1.14,62.2,58.0,6.64,6.7,4.15,5326,Premium
1.07,62.1,59.0,6.52,6.56,4.06,5327,Premium
1.33,64.0,53.0,6.93,7.01,4.46,5327,Very Good
1.08,62.7,57.0,6.52,6.49,4.08,5327,Ideal
1.51,59.7,62.0,7.46,7.42,4.44,5327,Premium
1.06,59.6,57.0,6.62,6.67,3.96,5328,Very Good
1.11,61.9,55.0,6.65,6.66,4.12,5329,Ideal
1.12,61.2,60.0,6.67,6.63,4.07,5329,Premium
1.12,59.8,58.0,6.79,6.76,4.05,5329,Premium
1.22,62.1,56.0,6.83,6.79,4.23,5329,Ideal
1.22,63.5,56.0,6.79,6.75,4.3,5329,Very Good
1.27,61.0,61.0,6.95,7.01,4.26,5330,Very Good
1.0,58.2,61.0,6.53,6.57,3.81,5330,Good
1.03,62.0,57.0,6.47,6.44,4.0,5330,Ideal
1.03,60.5,59.0,6.6,6.52,3.97,5330,Premium
1.03,62.2,57.0,6.48,6.42,4.01,5330,Ideal
0.9,60.3,58.0,6.23,6.28,3.77,5331,Very Good
1.0,61.6,57.0,6.37,6.45,3.95,5331,Ideal
1.01,64.4,58.0,6.18,6.24,4.0,5331,Good
1.0,65.5,60.0,6.18,6.12,4.03,5331,Fair
1.0,58.5,64.0,6.53,6.49,3.81,5331,Good
1.19,63.7,57.0,6.73,6.69,4.28,5331,Ideal
1.12,63.6,56.0,6.68,6.54,4.19,5331,Ideal
1.25,59.4,60.0,7.1,7.03,4.2,5331,Premium
1.2,62.5,59.0,6.74,6.68,4.2,5332,Premium
1.27,65.2,54.0,6.78,6.71,4.41,5334,Fair
1.02,60.2,62.0,6.46,6.54,3.91,5335,Very Good
0.9,61.9,56.0,6.15,6.22,3.83,5335,Ideal
0.9,61.3,57.0,6.2,6.24,3.81,5335,Ideal
1.11,62.5,58.0,6.61,6.64,4.14,5335,Very Good
1.34,62.7,56.0,7.05,7.08,4.43,5335,Very Good
1.09,59.8,60.0,6.72,6.66,4.0,5335,Premium
1.03,62.5,57.0,6.4,6.49,4.03,5337,Ideal
0.7,61.9,56.0,5.66,5.69,3.51,5338,Ideal
0.7,61.8,55.0,5.69,5.73,3.53,5338,Ideal
1.13,61.4,59.0,6.73,6.68,4.12,5338,Premium
1.01,62.3,56.0,6.36,6.42,3.98,5339,Very Good
1.01,61.1,57.0,6.43,6.46,3.94,5339,Very Good
1.14,61.6,56.0,6.71,6.73,4.14,5339,Ideal
1.01,60.2,60.0,6.46,6.5,3.9,5340,Very Good
1.21,61.9,54.0,6.85,6.88,4.25,5341,Ideal
1.0,62.3,59.0,6.26,6.29,3.91,5342,Very Good
0.91,62.0,59.0,6.19,6.16,3.83,5342,Very Good
1.06,62.0,57.0,6.54,6.5,4.04,5342,Ideal
1.05,61.9,57.0,6.54,6.57,4.06,5342,Ideal
1.13,59.7,57.0,6.82,6.79,4.06,5342,Ideal
1.04,59.6,58.0,6.63,6.55,3.93,5344,Premium
1.0,57.2,62.0,6.59,6.56,3.76,5345,Good
1.01,62.3,58.0,6.44,6.41,4.0,5345,Premium
1.01,59.8,60.0,6.57,6.53,3.92,5345,Premium
1.01,62.2,59.0,6.41,6.36,3.97,5345,Premium
1.01,60.6,59.0,6.52,6.49,3.94,5345,Premium
1.01,60.9,55.0,6.5,6.48,3.95,5345,Ideal
1.02,62.4,57.0,6.47,6.36,4.0,5346,Ideal
1.21,62.8,57.0,6.73,6.8,4.25,5346,Very Good
1.02,61.5,59.0,6.45,6.4,3.95,5346,Premium
1.11,61.0,59.0,6.7,6.67,4.08,5346,Premium
1.1,60.5,57.0,6.73,6.7,4.06,5347,Ideal
1.07,61.9,55.0,6.57,6.62,4.08,5347,Ideal
1.05,60.2,57.0,6.6,6.65,3.99,5347,Ideal
1.05,61.9,56.0,6.48,6.5,4.02,5347,Ideal
1.0,61.3,59.0,6.39,6.35,3.9,5347,Premium
1.02,66.6,57.0,6.09,6.14,4.07,5350,Fair
1.0,59.6,60.0,6.43,6.48,3.85,5351,Very Good
1.0,61.2,60.0,6.39,6.42,3.92,5351,Very Good
1.05,61.6,61.0,6.55,6.5,4.02,5351,Premium
1.5,61.3,59.0,7.38,7.33,4.51,5351,Premium
1.2,62.0,58.0,6.73,6.79,4.19,5352,Very Good
1.2,63.8,57.0,6.64,6.72,4.26,5352,Very Good
1.05,61.8,54.0,6.55,6.57,4.05,5352,Ideal
1.08,61.8,56.0,6.58,6.55,4.06,5352,Ideal
1.08,61.6,57.0,6.62,6.58,4.07,5352,Ideal
1.04,61.4,63.0,6.51,6.55,4.01,5353,Very Good
1.03,59.4,60.0,6.61,6.66,3.94,5353,Very Good
1.21,61.6,58.0,6.89,6.84,4.23,5353,Premium
1.06,61.8,56.0,6.56,6.51,4.04,5354,Ideal
1.25,62.0,57.0,6.92,6.85,4.27,5355,Ideal
1.25,61.6,57.0,6.98,6.91,4.28,5355,Ideal
1.02,62.4,58.0,6.39,6.43,4.0,5356,Premium
1.03,62.8,56.0,6.38,6.46,4.03,5356,Ideal
1.22,58.5,61.0,6.94,7.0,4.08,5356,Good
0.9,59.3,56.0,6.27,6.32,3.73,5356,Good
1.08,61.8,54.2,6.57,6.6,4.07,5357,Ideal
1.34,62.0,55.0,7.06,7.03,4.37,5358,Ideal
1.34,62.0,56.0,7.09,7.03,4.38,5358,Ideal
1.11,61.6,56.0,6.65,6.69,4.11,5358,Ideal
1.09,61.9,57.0,6.63,6.58,4.09,5358,Ideal
0.92,60.9,61.0,6.25,6.22,3.8,5358,Premium
1.11,61.2,55.0,6.72,6.68,4.1,5358,Ideal
1.1,61.6,56.0,6.66,6.63,4.09,5359,Ideal
1.12,61.1,59.0,6.69,6.73,4.1,5361,Very Good
1.1,62.1,58.0,6.61,6.63,4.11,5361,Ideal
1.05,61.9,56.0,6.51,6.55,4.04,5361,Ideal
1.05,62.3,55.0,6.47,6.54,4.05,5361,Ideal
1.11,58.3,62.0,6.77,6.84,3.97,5361,Good
1.24,61.8,58.0,6.88,6.84,4.24,5361,Ideal
1.25,62.7,57.0,6.82,6.86,4.29,5362,Very Good
1.06,61.0,57.0,6.55,6.59,4.01,5362,Ideal
1.12,62.0,57.0,6.69,6.64,4.13,5363,Ideal
1.12,62.2,60.0,6.65,6.59,4.12,5363,Premium
1.12,61.6,59.0,6.67,6.63,4.1,5363,Premium
1.26,62.0,56.0,7.0,6.94,4.32,5363,Ideal
1.21,59.3,59.0,6.97,7.0,4.14,5364,Very Good
1.09,62.4,57.0,6.55,6.6,4.1,5364,Ideal
1.03,63.0,59.0,6.47,6.36,4.04,5364,Premium
1.03,62.3,56.0,6.46,6.44,4.02,5364,Ideal
1.03,60.9,58.0,6.55,6.48,3.97,5364,Premium
1.03,61.6,61.0,6.51,6.44,3.99,5364,Premium
1.03,62.6,56.0,6.43,6.38,4.01,5364,Premium
1.03,62.6,57.0,6.42,6.46,4.03,5366,Ideal
1.01,58.2,59.0,6.59,6.54,3.82,5366,Premium
1.17,61.9,60.0,6.72,6.66,4.14,5366,Premium
1.16,63.0,58.0,6.7,6.66,4.21,5366,Premium
1.14,62.9,59.0,6.62,6.64,4.17,5367,Very Good
1.07,60.4,58.0,6.67,6.73,4.05,5367,Very Good
1.02,60.6,57.0,6.49,6.52,3.94,5367,Ideal
1.22,62.1,59.0,6.8,6.86,4.24,5368,Premium
1.22,61.2,59.0,6.86,6.9,4.21,5368,Premium
1.02,61.4,58.0,6.48,6.41,3.96,5369,Premium
1.13,62.1,59.0,6.64,6.71,4.14,5370,Very Good
1.05,62.7,59.0,6.43,6.49,4.05,5370,Premium
1.05,59.0,59.0,6.68,6.71,3.95,5370,Very Good
1.1,62.0,57.0,6.66,6.7,4.14,5370,Ideal
1.37,60.0,62.0,7.24,7.21,4.33,5370,Premium
1.27,59.7,57.0,6.99,7.04,4.19,5371,Very Good
1.01,61.5,60.0,6.39,6.42,3.94,5372,Very Good
1.16,60.5,60.0,6.86,6.77,4.12,5372,Very Good
1.01,62.1,57.0,6.4,6.45,3.99,5372,Ideal
1.2,63.1,57.0,6.68,6.75,4.24,5373,Very Good
0.81,62.2,53.7,5.97,5.99,3.72,5373,Ideal
1.07,62.0,53.0,6.61,6.62,4.1,5373,Ideal
1.2,61.1,57.0,6.86,6.89,4.2,5373,Ideal
0.9,61.9,54.0,6.19,6.22,3.84,5373,Ideal
1.06,61.2,55.0,6.61,6.57,4.03,5373,Ideal
1.17,61.4,56.0,6.83,6.76,4.17,5373,Ideal
1.23,61.2,57.0,6.89,6.86,4.21,5373,Premium
1.12,61.4,63.0,6.7,6.68,4.11,5374,Very Good
1.12,61.7,59.0,6.67,6.71,4.13,5375,Very Good
1.08,61.8,53.0,6.62,6.63,4.09,5375,Very Good
0.93,61.8,55.0,6.28,6.26,3.88,5375,Ideal
1.01,62.9,56.0,6.41,6.38,4.02,5375,Ideal
1.2,63.0,60.0,6.71,6.63,4.2,5376,Premium
1.2,63.1,59.0,6.75,6.65,4.23,5376,Very Good
1.09,62.1,55.0,6.6,6.64,4.11,5376,Ideal
1.0,65.0,58.0,6.21,6.16,4.02,5376,Fair
1.13,62.0,58.0,6.68,6.64,4.13,5376,Premium
1.13,60.9,60.0,6.76,6.67,4.09,5376,Premium
1.2,62.2,58.0,6.79,6.74,4.21,5376,Premium
1.2,63.5,61.0,6.75,6.71,4.27,5376,Ideal
1.2,62.6,58.0,6.74,6.71,4.21,5376,Ideal
1.28,60.2,60.0,6.97,6.93,4.31,5376,Premium
1.2,62.5,58.0,6.81,6.76,4.24,5376,Premium
1.2,62.3,58.0,6.81,6.76,4.23,5376,Premium
1.2,62.0,58.0,6.91,6.76,4.24,5376,Premium
1.0,64.0,58.0,6.24,6.2,3.99,5376,Good
1.03,61.2,56.0,6.5,6.51,3.98,5378,Ideal
1.13,62.0,55.0,6.68,6.7,4.15,5378,Ideal
1.18,61.5,56.0,6.77,6.82,4.18,5378,Ideal
1.01,62.4,59.0,6.29,6.33,3.94,5378,Good
1.03,61.3,57.0,6.58,6.51,4.01,5378,Ideal
1.01,64.3,59.0,6.23,6.28,4.02,5379,Good
1.04,63.5,56.0,6.41,6.37,4.06,5381,Very Good
1.24,59.9,59.0,7.01,6.95,4.18,5382,Premium
1.31,62.5,55.0,6.97,7.05,4.38,5382,Very Good
1.14,62.3,56.0,6.69,6.77,4.19,5382,Ideal
1.02,62.4,57.0,6.43,6.35,3.99,5383,Very Good
1.01,61.9,58.0,6.41,6.44,3.98,5383,Very Good
1.11,60.1,61.0,6.64,6.74,4.06,5384,Very Good
1.13,62.3,56.0,6.66,6.69,4.16,5384,Ideal
1.0,58.0,60.0,6.48,6.52,3.77,5384,Good
1.09,60.9,59.0,6.64,6.59,4.03,5384,Premium
1.15,63.0,59.0,6.68,6.63,4.19,5384,Premium
1.09,62.7,58.0,6.56,6.51,4.1,5384,Premium
1.0,60.0,55.0,6.41,6.52,3.88,5385,Very Good
1.2,62.2,56.0,6.74,6.84,4.22,5385,Ideal
1.0,60.4,55.0,6.49,6.52,3.93,5385,Ideal
1.01,66.0,57.0,6.29,6.22,4.13,5385,Fair
1.01,65.0,57.0,6.3,6.22,4.07,5385,Fair
1.01,60.8,57.0,6.58,6.54,3.99,5386,Very Good
0.9,61.6,56.0,6.2,6.23,3.83,5386,Ideal
1.11,62.7,56.0,6.65,6.59,4.15,5386,Ideal
1.23,63.6,57.0,6.79,6.74,4.3,5386,Good
0.9,61.4,56.0,6.19,6.23,3.81,5387,Very Good
1.01,61.7,57.0,6.37,6.44,3.96,5387,Ideal
1.01,61.2,57.0,6.42,6.47,3.95,5387,Ideal
1.01,61.2,57.0,6.44,6.5,3.96,5387,Ideal
1.3,62.9,56.0,7.0,6.96,4.39,5387,Ideal
1.21,61.5,61.0,6.82,6.77,4.18,5387,Premium
1.21,63.4,57.0,6.79,6.72,4.28,5387,Very Good
1.0,61.5,57.0,6.44,6.37,3.94,5387,Premium
1.0,60.7,59.0,6.44,6.4,3.9,5387,Premium
1.21,62.3,58.0,6.79,6.75,4.22,5387,Ideal
1.16,60.9,59.0,6.72,6.78,4.11,5388,Ideal
1.21,62.7,55.2,6.79,6.84,4.27,5390,Ideal
1.0,62.1,58.0,6.34,6.45,3.97,5390,Very Good
1.0,62.1,61.0,6.3,6.32,3.92,5390,Very Good
1.0,61.3,54.0,6.37,6.39,3.91,5390,Very Good
1.0,61.5,60.0,6.34,6.38,3.91,5390,Premium
1.19,60.0,57.0,6.93,6.89,4.15,5390,Very Good
0.92,58.8,57.0,6.32,6.37,3.73,5390,Good
1.25,59.7,59.0,7.03,6.97,4.18,5390,Premium
1.12,61.2,54.0,6.74,6.77,4.13,5392,Ideal
1.14,61.5,57.0,6.7,6.73,4.13,5392,Ideal
1.06,60.5,57.0,6.64,6.59,4.0,5393,Ideal
1.02,60.6,60.0,6.55,6.48,3.95,5393,Very Good
1.01,61.6,57.0,6.41,6.44,3.96,5393,Very Good
1.03,61.7,54.9,6.46,6.52,4.01,5393,Very Good
1.03,61.8,57.0,6.49,6.53,4.02,5393,Very Good
1.07,61.4,57.0,6.62,6.57,4.05,5393,Ideal
1.06,62.5,56.0,6.61,6.47,4.09,5393,Premium
0.91,57.7,58.0,6.33,6.4,3.67,5394,Good
1.01,59.8,56.0,6.57,6.6,3.94,5394,Very Good
1.25,61.4,55.0,6.92,6.99,4.27,5395,Ideal
1.11,62.5,56.0,6.65,6.63,4.15,5395,Ideal
1.11,60.9,57.0,6.77,6.69,4.1,5395,Premium
1.11,62.0,59.0,6.66,6.59,4.11,5395,Premium
1.11,61.7,57.0,6.69,6.65,4.12,5395,Ideal
1.25,62.2,59.0,6.88,6.86,4.27,5396,Premium
1.0,60.5,59.0,6.45,6.4,3.89,5396,Premium
1.0,63.2,57.0,6.39,6.36,4.03,5396,Very Good
1.0,62.3,55.0,6.41,6.34,3.97,5396,Ideal
1.0,61.7,58.0,6.42,6.35,3.94,5396,Premium
1.22,63.4,56.0,6.79,6.76,4.29,5397,Very Good
1.02,61.5,57.0,6.54,6.44,3.99,5398,Ideal
1.02,63.2,59.0,6.38,6.35,4.02,5398,Very Good
1.26,62.2,58.0,6.98,6.92,4.32,5398,Premium
1.02,62.3,58.0,6.46,6.38,4.0,5398,Premium
1.02,62.8,55.0,6.43,6.4,4.03,5398,Ideal
1.26,62.0,56.0,6.93,6.9,4.29,5398,Ideal
1.01,61.5,59.0,6.49,6.48,3.99,5400,Premium
1.05,60.3,61.0,6.62,6.57,3.98,5400,Premium
1.09,62.7,54.0,6.6,6.54,4.12,5401,Ideal
1.09,60.2,60.0,6.7,6.66,4.02,5402,Premium
1.0,62.4,59.0,6.75,6.72,4.2,5404,Premium
1.22,60.1,58.0,6.92,7.0,4.18,5405,Premium
2.14,69.4,57.0,7.74,7.7,5.36,5405,Fair
1.07,61.6,57.0,6.56,6.53,4.03,5405,Ideal
1.21,62.7,59.0,6.74,6.66,4.2,5405,Premium
1.27,62.0,55.0,6.95,6.9,4.3,5405,Ideal
1.19,60.4,55.0,6.89,6.91,4.17,5406,Ideal
1.05,60.5,58.0,6.55,6.6,3.98,5406,Very Good
1.21,63.8,64.0,6.72,6.63,4.26,5407,Good
1.02,62.7,58.0,6.44,6.36,4.01,5407,Premium
1.49,64.3,59.0,7.2,7.1,4.6,5407,Good
1.23,62.2,57.0,6.89,6.81,4.26,5407,Ideal
1.1,62.5,55.0,6.61,6.66,4.15,5407,Ideal
1.0,64.4,56.0,6.23,6.28,4.03,5407,Good
1.2,60.2,58.0,6.88,6.94,4.16,5408,Very Good
1.13,62.3,60.0,6.59,6.7,4.14,5408,Very Good
1.2,62.2,55.0,6.75,6.92,4.25,5408,Very Good
1.2,60.0,60.0,6.81,6.89,4.11,5408,Very Good
1.2,62.8,57.0,6.7,6.74,4.22,5408,Very Good
1.11,61.9,57.0,6.63,6.66,4.11,5408,Ideal
0.3,61.6,54.0,4.29,4.32,2.65,600,Very Good
0.29,61.3,56.0,4.23,4.25,2.6,600,Ideal
0.31,62.3,54.0,4.35,4.38,2.72,600,Ideal
0.31,59.0,63.0,4.44,4.47,2.63,600,Good
0.26,63.3,58.0,4.08,4.04,2.57,600,Very Good
0.26,62.5,58.0,4.11,4.08,2.56,600,Premium
0.26,61.2,56.0,4.16,4.11,2.53,600,Ideal
0.26,62.4,58.0,4.07,4.04,2.53,600,Premium
0.26,61.1,57.0,4.16,4.12,2.53,600,Ideal
0.23,58.1,63.0,4.08,4.04,2.36,600,Very Good
0.26,59.8,59.0,4.17,4.12,2.48,600,Premium
0.41,63.8,56.0,4.74,4.7,3.01,600,Good
0.41,60.6,59.0,4.84,4.8,2.92,600,Premium
0.38,62.1,60.0,4.6,4.64,2.87,600,Premium
0.36,61.1,59.0,4.58,4.62,2.81,600,Premium
0.38,61.0,61.0,4.61,4.67,2.83,600,Very Good
0.36,60.3,58.0,4.6,4.65,2.79,600,Very Good
0.36,61.1,59.0,4.55,4.59,2.79,600,Premium
0.36,62.3,59.0,4.5,4.56,2.82,600,Premium
0.36,61.5,56.0,4.59,4.62,2.83,600,Ideal
0.36,62.0,56.0,4.54,4.59,2.83,600,Ideal
0.36,61.9,59.0,4.51,4.54,2.8,600,Very Good
0.36,61.5,58.0,4.54,4.6,2.81,600,Premium
0.36,60.1,56.0,4.62,4.67,2.79,600,Ideal
0.36,61.6,60.0,4.54,4.61,2.82,600,Premium
0.36,61.5,57.0,4.55,4.59,2.81,600,Ideal
0.26,62.8,58.0,4.0,4.06,2.53,601,Very Good
0.38,59.7,62.0,4.7,4.74,2.82,601,Very Good
0.3,62.1,53.3,4.3,4.32,2.68,601,Ideal
0.3,62.1,53.6,4.28,4.31,2.67,601,Ideal
1.11,62.7,57.0,6.62,6.5,4.11,5408,Premium
1.11,62.3,58.0,6.61,6.52,4.09,5408,Premium
1.09,61.7,59.0,6.64,6.62,4.09,5410,Ideal
1.5,60.6,62.0,7.24,7.22,4.38,5410,Premium
1.03,60.5,61.0,6.47,6.43,3.9,5410,Premium
1.13,62.1,58.0,6.7,6.66,4.15,5410,Premium
1.0,60.6,62.0,6.43,6.4,3.89,5410,Premium
1.01,59.6,61.0,6.47,6.51,3.87,5411,Very Good
1.01,62.8,57.0,6.35,6.39,4.0,5411,Very Good
0.91,61.7,57.0,6.21,6.23,3.84,5411,Ideal
0.93,62.4,56.0,6.26,6.3,3.92,5411,Ideal
1.03,62.0,55.0,6.46,6.5,4.02,5411,Ideal
1.01,63.2,59.0,6.27,6.35,3.99,5411,Good
1.16,65.8,58.0,6.54,6.46,4.28,5411,Fair
1.16,64.2,59.0,6.66,6.61,4.26,5411,Ideal
1.23,63.8,57.4,6.72,6.78,4.31,5412,Good
1.5,61.8,57.0,7.31,7.39,4.54,5412,Ideal
1.2,61.8,56.0,6.77,6.8,4.19,5412,Ideal
1.23,62.5,59.0,6.8,6.84,4.26,5412,Premium
1.23,62.7,58.0,6.79,6.82,4.27,5412,Premium
1.24,61.7,55.0,6.91,6.96,4.28,5412,Ideal
1.13,60.1,55.0,6.79,6.85,4.1,5412,Ideal
1.18,61.3,55.6,6.79,6.84,4.18,5412,Ideal
1.17,62.5,56.0,6.77,6.7,4.21,5412,Ideal
1.26,61.6,56.0,6.99,6.95,4.3,5412,Ideal
1.26,61.9,58.0,6.88,6.81,4.24,5412,Premium
1.0,63.7,55.0,6.35,6.4,4.06,5413,Very Good
1.06,60.7,59.0,6.56,6.63,4.0,5415,Very Good
1.01,63.8,59.0,6.3,6.34,4.03,5416,Good
1.01,62.8,59.0,6.41,6.45,4.04,5416,Very Good
1.01,61.1,58.0,6.45,6.48,3.95,5416,Premium
